# Running gravitational simulaition with N = 2 bodies
#  m_1 = 1.9885e+30  m_2 = 5.9722e+24
# t  x_1  y_1  x_2  y_2
 0.00000e+00  3.00337e-06 -2.69681e-16 -1.00000e+00  8.97929e-11 
 9.70000e-03  2.99779e-06  1.82934e-07 -9.98143e-01 -6.09095e-02 
 9.80000e-03  2.99768e-06  1.84817e-07 -9.98105e-01 -6.15366e-02 
 9.90000e-03  2.99756e-06  1.86701e-07 -9.98066e-01 -6.21637e-02 
 1.00000e-02  2.99744e-06  1.88584e-07 -9.98027e-01 -6.27908e-02 
 1.01000e-02  2.99732e-06  1.90467e-07 -9.97987e-01 -6.34179e-02 
 1.02000e-02  2.99720e-06  1.92351e-07 -9.97947e-01 -6.40449e-02 
 1.03000e-02  2.99708e-06  1.94234e-07 -9.97907e-01 -6.46719e-02 
 1.04000e-02  2.99696e-06  1.96117e-07 -9.97866e-01 -6.52989e-02 
 1.05000e-02  2.99684e-06  1.98000e-07 -9.97825e-01 -6.59259e-02 
 1.06000e-02  2.99671e-06  1.99883e-07 -9.97783e-01 -6.65529e-02 
 1.07000e-02  2.99658e-06  2.01766e-07 -9.97741e-01 -6.71798e-02 
 1.08000e-02  2.99646e-06  2.03648e-07 -9.97698e-01 -6.78067e-02 
 1.09000e-02  2.99633e-06  2.05531e-07 -9.97656e-01 -6.84335e-02 
 1.10000e-02  2.99620e-06  2.07414e-07 -9.97612e-01 -6.90604e-02 
 1.11000e-02  2.99607e-06  2.09296e-07 -9.97569e-01 -6.96872e-02 
 1.12000e-02  2.99594e-06  2.11179e-07 -9.97525e-01 -7.03139e-02 
 1.13000e-02  2.99580e-06  2.13061e-07 -9.97481e-01 -7.09407e-02 
 1.14000e-02  2.99567e-06  2.14943e-07 -9.97436e-01 -7.15674e-02 
 1.15000e-02  2.99553e-06  2.16826e-07 -9.97391e-01 -7.21941e-02 
 1.16000e-02  2.99540e-06  2.18708e-07 -9.97345e-01 -7.28208e-02 
 1.17000e-02  2.99526e-06  2.20590e-07 -9.97299e-01 -7.34474e-02 
 1.18000e-02  2.99512e-06  2.22472e-07 -9.97253e-01 -7.40740e-02 
 1.19000e-02  2.99498e-06  2.24354e-07 -9.97206e-01 -7.47006e-02 
 1.20000e-02  2.99484e-06  2.26235e-07 -9.97159e-01 -7.53272e-02 
 1.21000e-02  2.99469e-06  2.28117e-07 -9.97111e-01 -7.59537e-02 
 1.22000e-02  2.99455e-06  2.29999e-07 -9.97063e-01 -7.65802e-02 
 1.23000e-02  2.99440e-06  2.31880e-07 -9.97015e-01 -7.72066e-02 
 1.24000e-02  2.99426e-06  2.33761e-07 -9.96966e-01 -7.78331e-02 
 1.25000e-02  2.99411e-06  2.35643e-07 -9.96917e-01 -7.84595e-02 
 1.26000e-02  2.99396e-06  2.37524e-07 -9.96868e-01 -7.90858e-02 
 1.27000e-02  2.99381e-06  2.39405e-07 -9.96818e-01 -7.97122e-02 
 1.28000e-02  2.99366e-06  2.41286e-07 -9.96768e-01 -8.03385e-02 
 1.29000e-02  2.99351e-06  2.43167e-07 -9.96717e-01 -8.09648e-02 
 1.30000e-02  2.99336e-06  2.45048e-07 -9.96666e-01 -8.15910e-02 
 1.31000e-02  2.99320e-06  2.46929e-07 -9.96614e-01 -8.22172e-02 
 1.32000e-02  2.99305e-06  2.48809e-07 -9.96563e-01 -8.28434e-02 
 1.33000e-02  2.99289e-06  2.50690e-07 -9.96510e-01 -8.34695e-02 
 1.34000e-02  2.99273e-06  2.52570e-07 -9.96458e-01 -8.40956e-02 
 1.35000e-02  2.99257e-06  2.54451e-07 -9.96405e-01 -8.47217e-02 
